,Date,Day(Eng),Day(Nufi),Date (Jour-Mois-Annee),Date (yyyy-mm-dd),Nufi_Date,Nufi_Full_Date
11,April 12 2087,Saturday,Nzîsō,12-04-2087,2087 April 12,"līē' 12, Sò'njɑ̀ɑ̀, Ngù' 2087","Nzîsō, līē' 12, Sò'njɑ̀ɑ̀, Ngù' 2087"
12,April 13 2087,Sunday,Nthʉ̂'kwɑ̀,13-04-2087,2087 April 13,"līē' 13, Sò'njɑ̀ɑ̀, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 13, Sò'njɑ̀ɑ̀, Ngù' 2087"
13,April 14 2087,Monday,Nthʉ̂'ntāā,14-04-2087,2087 April 14,"līē' 14, Sò'njɑ̀ɑ̀, Ngù' 2087","Nthʉ̂'ntāā, līē' 14, Sò'njɑ̀ɑ̀, Ngù' 2087"
14,April 15 2087,Tuesday,Líé'nkwe',15-04-2087,2087 April 15,"līē' 15, Sò'njɑ̀ɑ̀, Ngù' 2087","Líé'nkwe', līē' 15, Sò'njɑ̀ɑ̀, Ngù' 2087"
15,April 16 2087,Wednesday,Nkɑ́ɑ́tēē,16-04-2087,2087 April 16,"līē' 16, Sò'njɑ̀ɑ̀, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 16, Sò'njɑ̀ɑ̀, Ngù' 2087"
16,April 17 2087,Thursday,Nshwīe'ko,17-04-2087,2087 April 17,"līē' 17, Sò'njɑ̀ɑ̀, Ngù' 2087","Nshwīe'ko, līē' 17, Sò'njɑ̀ɑ̀, Ngù' 2087"
17,April 18 2087,Friday,Ncômntēē,18-04-2087,2087 April 18,"līē' 18, Sò'njɑ̀ɑ̀, Ngù' 2087","Ncômntēē, līē' 18, Sò'njɑ̀ɑ̀, Ngù' 2087"
18,April 19 2087,Saturday,Nzîngū,19-04-2087,2087 April 19,"līē' 19, Sò'njɑ̀ɑ̀, Ngù' 2087","Nzîngū, līē' 19, Sò'njɑ̀ɑ̀, Ngù' 2087"
19,April 20 2087,Sunday,Nzîsō,20-04-2087,2087 April 20,"līē' 20, Sò'njɑ̀ɑ̀, Ngù' 2087","Nzîsō, līē' 20, Sò'njɑ̀ɑ̀, Ngù' 2087"
20,April 21 2087,Monday,Nthʉ̂'kwɑ̀,21-04-2087,2087 April 21,"līē' 21, Sò'njɑ̀ɑ̀, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 21, Sò'njɑ̀ɑ̀, Ngù' 2087"
21,April 22 2087,Tuesday,Nthʉ̂'ntāā,22-04-2087,2087 April 22,"līē' 22, Sò'njɑ̀ɑ̀, Ngù' 2087","Nthʉ̂'ntāā, līē' 22, Sò'njɑ̀ɑ̀, Ngù' 2087"
22,April 23 2087,Wednesday,Líé'nkwe',23-04-2087,2087 April 23,"līē' 23, Sò'njɑ̀ɑ̀, Ngù' 2087","Líé'nkwe', līē' 23, Sò'njɑ̀ɑ̀, Ngù' 2087"
23,April 24 2087,Thursday,Nkɑ́ɑ́tēē,24-04-2087,2087 April 24,"līē' 24, Sò'njɑ̀ɑ̀, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 24, Sò'njɑ̀ɑ̀, Ngù' 2087"
24,April 25 2087,Friday,Nshwīe'ko,25-04-2087,2087 April 25,"līē' 25, Sò'njɑ̀ɑ̀, Ngù' 2087","Nshwīe'ko, līē' 25, Sò'njɑ̀ɑ̀, Ngù' 2087"
25,April 26 2087,Saturday,Ncômntēē,26-04-2087,2087 April 26,"līē' 26, Sò'njɑ̀ɑ̀, Ngù' 2087","Ncômntēē, līē' 26, Sò'njɑ̀ɑ̀, Ngù' 2087"
26,April 27 2087,Sunday,Nzîngū,27-04-2087,2087 April 27,"līē' 27, Sò'njɑ̀ɑ̀, Ngù' 2087","Nzîngū, līē' 27, Sò'njɑ̀ɑ̀, Ngù' 2087"
27,April 28 2087,Monday,Nzîsō,28-04-2087,2087 April 28,"līē' 28, Sò'njɑ̀ɑ̀, Ngù' 2087","Nzîsō, līē' 28, Sò'njɑ̀ɑ̀, Ngù' 2087"
28,April 29 2087,Tuesday,Nthʉ̂'kwɑ̀,29-04-2087,2087 April 29,"līē' 29, Sò'njɑ̀ɑ̀, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 29, Sò'njɑ̀ɑ̀, Ngù' 2087"
29,April 30 2087,Wednesday,Nthʉ̂'ntāā,30-04-2087,2087 April 30,"līē' 30, Sò'njɑ̀ɑ̀, Ngù' 2087","Nthʉ̂'ntāā, līē' 30, Sò'njɑ̀ɑ̀, Ngù' 2087"
0,May 1 2087,Thursday,Líé'nkwe',01-05-2087,2087 May 01,"Ntûmbhì līē', Njwēnɑ̌hntà', Ngù' 2087","Líé'nkwe', Ntûmbhì līē', Njwēnɑ̌hntà', Ngù' 2087"
1,May 2 2087,Friday,Nkɑ́ɑ́tēē,02-05-2087,2087 May 02,"līē' 2, Njwēnɑ̌hntà', Ngù' 2087","Nkɑ́ɑ́tēē, līē' 2, Njwēnɑ̌hntà', Ngù' 2087"
2,May 3 2087,Saturday,Nshwīe'ko,03-05-2087,2087 May 03,"līē' 3, Njwēnɑ̌hntà', Ngù' 2087","Nshwīe'ko, līē' 3, Njwēnɑ̌hntà', Ngù' 2087"
3,May 4 2087,Sunday,Ncômntēē,04-05-2087,2087 May 04,"līē' 4, Njwēnɑ̌hntà', Ngù' 2087","Ncômntēē, līē' 4, Njwēnɑ̌hntà', Ngù' 2087"
4,May 5 2087,Monday,Nzîngū,05-05-2087,2087 May 05,"līē' 5, Njwēnɑ̌hntà', Ngù' 2087","Nzîngū, līē' 5, Njwēnɑ̌hntà', Ngù' 2087"
5,May 6 2087,Tuesday,Nzîsō,06-05-2087,2087 May 06,"līē' 6, Njwēnɑ̌hntà', Ngù' 2087","Nzîsō, līē' 6, Njwēnɑ̌hntà', Ngù' 2087"
6,May 7 2087,Wednesday,Nthʉ̂'kwɑ̀,07-05-2087,2087 May 07,"līē' 7, Njwēnɑ̌hntà', Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 7, Njwēnɑ̌hntà', Ngù' 2087"
7,May 8 2087,Thursday,Nthʉ̂'ntāā,08-05-2087,2087 May 08,"līē' 8, Njwēnɑ̌hntà', Ngù' 2087","Nthʉ̂'ntāā, līē' 8, Njwēnɑ̌hntà', Ngù' 2087"
8,May 9 2087,Friday,Líé'nkwe',09-05-2087,2087 May 09,"līē' 9, Njwēnɑ̌hntà', Ngù' 2087","Líé'nkwe', līē' 9, Njwēnɑ̌hntà', Ngù' 2087"
9,May 10 2087,Saturday,Nkɑ́ɑ́tēē,10-05-2087,2087 May 10,"līē' 10, Njwēnɑ̌hntà', Ngù' 2087","Nkɑ́ɑ́tēē, līē' 10, Njwēnɑ̌hntà', Ngù' 2087"
10,May 11 2087,Sunday,Nshwīe'ko,11-05-2087,2087 May 11,"līē' 11, Njwēnɑ̌hntà', Ngù' 2087","Nshwīe'ko, līē' 11, Njwēnɑ̌hntà', Ngù' 2087"
11,May 12 2087,Monday,Ncômntēē,12-05-2087,2087 May 12,"līē' 12, Njwēnɑ̌hntà', Ngù' 2087","Ncômntēē, līē' 12, Njwēnɑ̌hntà', Ngù' 2087"
12,May 13 2087,Tuesday,Nzîngū,13-05-2087,2087 May 13,"līē' 13, Njwēnɑ̌hntà', Ngù' 2087","Nzîngū, līē' 13, Njwēnɑ̌hntà', Ngù' 2087"
13,May 14 2087,Wednesday,Nzîsō,14-05-2087,2087 May 14,"līē' 14, Njwēnɑ̌hntà', Ngù' 2087","Nzîsō, līē' 14, Njwēnɑ̌hntà', Ngù' 2087"
14,May 15 2087,Thursday,Nthʉ̂'kwɑ̀,15-05-2087,2087 May 15,"līē' 15, Njwēnɑ̌hntà', Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 15, Njwēnɑ̌hntà', Ngù' 2087"
15,May 16 2087,Friday,Nthʉ̂'ntāā,16-05-2087,2087 May 16,"līē' 16, Njwēnɑ̌hntà', Ngù' 2087","Nthʉ̂'ntāā, līē' 16, Njwēnɑ̌hntà', Ngù' 2087"
16,May 17 2087,Saturday,Líé'nkwe',17-05-2087,2087 May 17,"līē' 17, Njwēnɑ̌hntà', Ngù' 2087","Líé'nkwe', līē' 17, Njwēnɑ̌hntà', Ngù' 2087"
17,May 18 2087,Sunday,Nkɑ́ɑ́tēē,18-05-2087,2087 May 18,"līē' 18, Njwēnɑ̌hntà', Ngù' 2087","Nkɑ́ɑ́tēē, līē' 18, Njwēnɑ̌hntà', Ngù' 2087"
18,May 19 2087,Monday,Nshwīe'ko,19-05-2087,2087 May 19,"līē' 19, Njwēnɑ̌hntà', Ngù' 2087","Nshwīe'ko, līē' 19, Njwēnɑ̌hntà', Ngù' 2087"
19,May 20 2087,Tuesday,Ncômntēē,20-05-2087,2087 May 20,"līē' 20, Njwēnɑ̌hntà', Ngù' 2087","Ncômntēē, līē' 20, Njwēnɑ̌hntà', Ngù' 2087"
20,May 21 2087,Wednesday,Nzîngū,21-05-2087,2087 May 21,"līē' 21, Njwēnɑ̌hntà', Ngù' 2087","Nzîngū, līē' 21, Njwēnɑ̌hntà', Ngù' 2087"
21,May 22 2087,Thursday,Nzîsō,22-05-2087,2087 May 22,"līē' 22, Njwēnɑ̌hntà', Ngù' 2087","Nzîsō, līē' 22, Njwēnɑ̌hntà', Ngù' 2087"
22,May 23 2087,Friday,Nthʉ̂'kwɑ̀,23-05-2087,2087 May 23,"līē' 23, Njwēnɑ̌hntà', Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 23, Njwēnɑ̌hntà', Ngù' 2087"
23,May 24 2087,Saturday,Nthʉ̂'ntāā,24-05-2087,2087 May 24,"līē' 24, Njwēnɑ̌hntà', Ngù' 2087","Nthʉ̂'ntāā, līē' 24, Njwēnɑ̌hntà', Ngù' 2087"
24,May 25 2087,Sunday,Líé'nkwe',25-05-2087,2087 May 25,"līē' 25, Njwēnɑ̌hntà', Ngù' 2087","Líé'nkwe', līē' 25, Njwēnɑ̌hntà', Ngù' 2087"
25,May 26 2087,Monday,Nkɑ́ɑ́tēē,26-05-2087,2087 May 26,"līē' 26, Njwēnɑ̌hntà', Ngù' 2087","Nkɑ́ɑ́tēē, līē' 26, Njwēnɑ̌hntà', Ngù' 2087"
26,May 27 2087,Tuesday,Nshwīe'ko,27-05-2087,2087 May 27,"līē' 27, Njwēnɑ̌hntà', Ngù' 2087","Nshwīe'ko, līē' 27, Njwēnɑ̌hntà', Ngù' 2087"
27,May 28 2087,Wednesday,Ncômntēē,28-05-2087,2087 May 28,"līē' 28, Njwēnɑ̌hntà', Ngù' 2087","Ncômntēē, līē' 28, Njwēnɑ̌hntà', Ngù' 2087"
28,May 29 2087,Thursday,Nzîngū,29-05-2087,2087 May 29,"līē' 29, Njwēnɑ̌hntà', Ngù' 2087","Nzîngū, līē' 29, Njwēnɑ̌hntà', Ngù' 2087"
29,May 30 2087,Friday,Nzîsō,30-05-2087,2087 May 30,"līē' 30, Njwēnɑ̌hntà', Ngù' 2087","Nzîsō, līē' 30, Njwēnɑ̌hntà', Ngù' 2087"
30,May 31 2087,Saturday,Nthʉ̂'kwɑ̀,31-05-2087,2087 May 31,"līē' 31, Njwēnɑ̌hntà', Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 31, Njwēnɑ̌hntà', Ngù' 2087"
0,June 1 2087,Sunday,Nthʉ̂'ntāā,01-06-2087,2087 June 01,"Ntûmbhì līē', Mòmòshʉ̄, Ngù' 2087","Nthʉ̂'ntāā, Ntûmbhì līē', Mòmòshʉ̄, Ngù' 2087"
1,June 2 2087,Monday,Líé'nkwe',02-06-2087,2087 June 02,"līē' 2, Mòmòshʉ̄, Ngù' 2087","Líé'nkwe', līē' 2, Mòmòshʉ̄, Ngù' 2087"
2,June 3 2087,Tuesday,Nkɑ́ɑ́tēē,03-06-2087,2087 June 03,"līē' 3, Mòmòshʉ̄, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 3, Mòmòshʉ̄, Ngù' 2087"
3,June 4 2087,Wednesday,Nshwīe'ko,04-06-2087,2087 June 04,"līē' 4, Mòmòshʉ̄, Ngù' 2087","Nshwīe'ko, līē' 4, Mòmòshʉ̄, Ngù' 2087"
4,June 5 2087,Thursday,Ncômntēē,05-06-2087,2087 June 05,"līē' 5, Mòmòshʉ̄, Ngù' 2087","Ncômntēē, līē' 5, Mòmòshʉ̄, Ngù' 2087"
5,June 6 2087,Friday,Nzîngū,06-06-2087,2087 June 06,"līē' 6, Mòmòshʉ̄, Ngù' 2087","Nzîngū, līē' 6, Mòmòshʉ̄, Ngù' 2087"
6,June 7 2087,Saturday,Nzîsō,07-06-2087,2087 June 07,"līē' 7, Mòmòshʉ̄, Ngù' 2087","Nzîsō, līē' 7, Mòmòshʉ̄, Ngù' 2087"
7,June 8 2087,Sunday,Nthʉ̂'kwɑ̀,08-06-2087,2087 June 08,"līē' 8, Mòmòshʉ̄, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 8, Mòmòshʉ̄, Ngù' 2087"
8,June 9 2087,Monday,Nthʉ̂'ntāā,09-06-2087,2087 June 09,"līē' 9, Mòmòshʉ̄, Ngù' 2087","Nthʉ̂'ntāā, līē' 9, Mòmòshʉ̄, Ngù' 2087"
9,June 10 2087,Tuesday,Líé'nkwe',10-06-2087,2087 June 10,"līē' 10, Mòmòshʉ̄, Ngù' 2087","Líé'nkwe', līē' 10, Mòmòshʉ̄, Ngù' 2087"
10,June 11 2087,Wednesday,Nkɑ́ɑ́tēē,11-06-2087,2087 June 11,"līē' 11, Mòmòshʉ̄, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 11, Mòmòshʉ̄, Ngù' 2087"
11,June 12 2087,Thursday,Nshwīe'ko,12-06-2087,2087 June 12,"līē' 12, Mòmòshʉ̄, Ngù' 2087","Nshwīe'ko, līē' 12, Mòmòshʉ̄, Ngù' 2087"
12,June 13 2087,Friday,Ncômntēē,13-06-2087,2087 June 13,"līē' 13, Mòmòshʉ̄, Ngù' 2087","Ncômntēē, līē' 13, Mòmòshʉ̄, Ngù' 2087"
13,June 14 2087,Saturday,Nzîngū,14-06-2087,2087 June 14,"līē' 14, Mòmòshʉ̄, Ngù' 2087","Nzîngū, līē' 14, Mòmòshʉ̄, Ngù' 2087"
14,June 15 2087,Sunday,Nzîsō,15-06-2087,2087 June 15,"līē' 15, Mòmòshʉ̄, Ngù' 2087","Nzîsō, līē' 15, Mòmòshʉ̄, Ngù' 2087"
15,June 16 2087,Monday,Nthʉ̂'kwɑ̀,16-06-2087,2087 June 16,"līē' 16, Mòmòshʉ̄, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 16, Mòmòshʉ̄, Ngù' 2087"
16,June 17 2087,Tuesday,Nthʉ̂'ntāā,17-06-2087,2087 June 17,"līē' 17, Mòmòshʉ̄, Ngù' 2087","Nthʉ̂'ntāā, līē' 17, Mòmòshʉ̄, Ngù' 2087"
17,June 18 2087,Wednesday,Líé'nkwe',18-06-2087,2087 June 18,"līē' 18, Mòmòshʉ̄, Ngù' 2087","Líé'nkwe', līē' 18, Mòmòshʉ̄, Ngù' 2087"
18,June 19 2087,Thursday,Nkɑ́ɑ́tēē,19-06-2087,2087 June 19,"līē' 19, Mòmòshʉ̄, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 19, Mòmòshʉ̄, Ngù' 2087"
19,June 20 2087,Friday,Nshwīe'ko,20-06-2087,2087 June 20,"līē' 20, Mòmòshʉ̄, Ngù' 2087","Nshwīe'ko, līē' 20, Mòmòshʉ̄, Ngù' 2087"
20,June 21 2087,Saturday,Ncômntēē,21-06-2087,2087 June 21,"līē' 21, Mòmòshʉ̄, Ngù' 2087","Ncômntēē, līē' 21, Mòmòshʉ̄, Ngù' 2087"
21,June 22 2087,Sunday,Nzîngū,22-06-2087,2087 June 22,"līē' 22, Mòmòshʉ̄, Ngù' 2087","Nzîngū, līē' 22, Mòmòshʉ̄, Ngù' 2087"
22,June 23 2087,Monday,Nzîsō,23-06-2087,2087 June 23,"līē' 23, Mòmòshʉ̄, Ngù' 2087","Nzîsō, līē' 23, Mòmòshʉ̄, Ngù' 2087"
23,June 24 2087,Tuesday,Nthʉ̂'kwɑ̀,24-06-2087,2087 June 24,"līē' 24, Mòmòshʉ̄, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 24, Mòmòshʉ̄, Ngù' 2087"
24,June 25 2087,Wednesday,Nthʉ̂'ntāā,25-06-2087,2087 June 25,"līē' 25, Mòmòshʉ̄, Ngù' 2087","Nthʉ̂'ntāā, līē' 25, Mòmòshʉ̄, Ngù' 2087"
25,June 26 2087,Thursday,Líé'nkwe',26-06-2087,2087 June 26,"līē' 26, Mòmòshʉ̄, Ngù' 2087","Líé'nkwe', līē' 26, Mòmòshʉ̄, Ngù' 2087"
26,June 27 2087,Friday,Nkɑ́ɑ́tēē,27-06-2087,2087 June 27,"līē' 27, Mòmòshʉ̄, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 27, Mòmòshʉ̄, Ngù' 2087"
27,June 28 2087,Saturday,Nshwīe'ko,28-06-2087,2087 June 28,"līē' 28, Mòmòshʉ̄, Ngù' 2087","Nshwīe'ko, līē' 28, Mòmòshʉ̄, Ngù' 2087"
28,June 29 2087,Sunday,Ncômntēē,29-06-2087,2087 June 29,"līē' 29, Mòmòshʉ̄, Ngù' 2087","Ncômntēē, līē' 29, Mòmòshʉ̄, Ngù' 2087"
29,June 30 2087,Monday,Nzîngū,30-06-2087,2087 June 30,"līē' 30, Mòmòshʉ̄, Ngù' 2087","Nzîngū, līē' 30, Mòmòshʉ̄, Ngù' 2087"
0,July 1 2087,Tuesday,Nzîsō,01-07-2087,2087 July 01,"Ntûmbhì līē', Ntûmbhìngòfāt, Ngù' 2087","Nzîsō, Ntûmbhì līē', Ntûmbhìngòfāt, Ngù' 2087"
1,July 2 2087,Wednesday,Nthʉ̂'kwɑ̀,02-07-2087,2087 July 02,"līē' 2, Ntûmbhìngòfāt, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 2, Ntûmbhìngòfāt, Ngù' 2087"
2,July 3 2087,Thursday,Nthʉ̂'ntāā,03-07-2087,2087 July 03,"līē' 3, Ntûmbhìngòfāt, Ngù' 2087","Nthʉ̂'ntāā, līē' 3, Ntûmbhìngòfāt, Ngù' 2087"
3,July 4 2087,Friday,Líé'nkwe',04-07-2087,2087 July 04,"līē' 4, Ntûmbhìngòfāt, Ngù' 2087","Líé'nkwe', līē' 4, Ntûmbhìngòfāt, Ngù' 2087"
4,July 5 2087,Saturday,Nkɑ́ɑ́tēē,05-07-2087,2087 July 05,"līē' 5, Ntûmbhìngòfāt, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 5, Ntûmbhìngòfāt, Ngù' 2087"
5,July 6 2087,Sunday,Nshwīe'ko,06-07-2087,2087 July 06,"līē' 6, Ntûmbhìngòfāt, Ngù' 2087","Nshwīe'ko, līē' 6, Ntûmbhìngòfāt, Ngù' 2087"
6,July 7 2087,Monday,Ncômntēē,07-07-2087,2087 July 07,"līē' 7, Ntûmbhìngòfāt, Ngù' 2087","Ncômntēē, līē' 7, Ntûmbhìngòfāt, Ngù' 2087"
7,July 8 2087,Tuesday,Nzîngū,08-07-2087,2087 July 08,"līē' 8, Ntûmbhìngòfāt, Ngù' 2087","Nzîngū, līē' 8, Ntûmbhìngòfāt, Ngù' 2087"
8,July 9 2087,Wednesday,Nzîsō,09-07-2087,2087 July 09,"līē' 9, Ntûmbhìngòfāt, Ngù' 2087","Nzîsō, līē' 9, Ntûmbhìngòfāt, Ngù' 2087"
9,July 10 2087,Thursday,Nthʉ̂'kwɑ̀,10-07-2087,2087 July 10,"līē' 10, Ntûmbhìngòfāt, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 10, Ntûmbhìngòfāt, Ngù' 2087"
10,July 11 2087,Friday,Nthʉ̂'ntāā,11-07-2087,2087 July 11,"līē' 11, Ntûmbhìngòfāt, Ngù' 2087","Nthʉ̂'ntāā, līē' 11, Ntûmbhìngòfāt, Ngù' 2087"
11,July 12 2087,Saturday,Líé'nkwe',12-07-2087,2087 July 12,"līē' 12, Ntûmbhìngòfāt, Ngù' 2087","Líé'nkwe', līē' 12, Ntûmbhìngòfāt, Ngù' 2087"
12,July 13 2087,Sunday,Nkɑ́ɑ́tēē,13-07-2087,2087 July 13,"līē' 13, Ntûmbhìngòfāt, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 13, Ntûmbhìngòfāt, Ngù' 2087"
13,July 14 2087,Monday,Nshwīe'ko,14-07-2087,2087 July 14,"līē' 14, Ntûmbhìngòfāt, Ngù' 2087","Nshwīe'ko, līē' 14, Ntûmbhìngòfāt, Ngù' 2087"
14,July 15 2087,Tuesday,Ncômntēē,15-07-2087,2087 July 15,"līē' 15, Ntûmbhìngòfāt, Ngù' 2087","Ncômntēē, līē' 15, Ntûmbhìngòfāt, Ngù' 2087"
15,July 16 2087,Wednesday,Nzîngū,16-07-2087,2087 July 16,"līē' 16, Ntûmbhìngòfāt, Ngù' 2087","Nzîngū, līē' 16, Ntûmbhìngòfāt, Ngù' 2087"
16,July 17 2087,Thursday,Nzîsō,17-07-2087,2087 July 17,"līē' 17, Ntûmbhìngòfāt, Ngù' 2087","Nzîsō, līē' 17, Ntûmbhìngòfāt, Ngù' 2087"
17,July 18 2087,Friday,Nthʉ̂'kwɑ̀,18-07-2087,2087 July 18,"līē' 18, Ntûmbhìngòfāt, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 18, Ntûmbhìngòfāt, Ngù' 2087"
18,July 19 2087,Saturday,Nthʉ̂'ntāā,19-07-2087,2087 July 19,"līē' 19, Ntûmbhìngòfāt, Ngù' 2087","Nthʉ̂'ntāā, līē' 19, Ntûmbhìngòfāt, Ngù' 2087"
19,July 20 2087,Sunday,Líé'nkwe',20-07-2087,2087 July 20,"līē' 20, Ntûmbhìngòfāt, Ngù' 2087","Líé'nkwe', līē' 20, Ntûmbhìngòfāt, Ngù' 2087"
20,July 21 2087,Monday,Nkɑ́ɑ́tēē,21-07-2087,2087 July 21,"līē' 21, Ntûmbhìngòfāt, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 21, Ntûmbhìngòfāt, Ngù' 2087"
21,July 22 2087,Tuesday,Nshwīe'ko,22-07-2087,2087 July 22,"līē' 22, Ntûmbhìngòfāt, Ngù' 2087","Nshwīe'ko, līē' 22, Ntûmbhìngòfāt, Ngù' 2087"
22,July 23 2087,Wednesday,Ncômntēē,23-07-2087,2087 July 23,"līē' 23, Ntûmbhìngòfāt, Ngù' 2087","Ncômntēē, līē' 23, Ntûmbhìngòfāt, Ngù' 2087"
23,July 24 2087,Thursday,Nzîngū,24-07-2087,2087 July 24,"līē' 24, Ntûmbhìngòfāt, Ngù' 2087","Nzîngū, līē' 24, Ntûmbhìngòfāt, Ngù' 2087"
24,July 25 2087,Friday,Nzîsō,25-07-2087,2087 July 25,"līē' 25, Ntûmbhìngòfāt, Ngù' 2087","Nzîsō, līē' 25, Ntûmbhìngòfāt, Ngù' 2087"
25,July 26 2087,Saturday,Nthʉ̂'kwɑ̀,26-07-2087,2087 July 26,"līē' 26, Ntûmbhìngòfāt, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 26, Ntûmbhìngòfāt, Ngù' 2087"
26,July 27 2087,Sunday,Nthʉ̂'ntāā,27-07-2087,2087 July 27,"līē' 27, Ntûmbhìngòfāt, Ngù' 2087","Nthʉ̂'ntāā, līē' 27, Ntûmbhìngòfāt, Ngù' 2087"
27,July 28 2087,Monday,Líé'nkwe',28-07-2087,2087 July 28,"līē' 28, Ntûmbhìngòfāt, Ngù' 2087","Líé'nkwe', līē' 28, Ntûmbhìngòfāt, Ngù' 2087"
28,July 29 2087,Tuesday,Nkɑ́ɑ́tēē,29-07-2087,2087 July 29,"līē' 29, Ntûmbhìngòfāt, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 29, Ntûmbhìngòfāt, Ngù' 2087"
29,July 30 2087,Wednesday,Nshwīe'ko,30-07-2087,2087 July 30,"līē' 30, Ntûmbhìngòfāt, Ngù' 2087","Nshwīe'ko, līē' 30, Ntûmbhìngòfāt, Ngù' 2087"
30,July 31 2087,Thursday,Ncômntēē,31-07-2087,2087 July 31,"līē' 31, Ntûmbhìngòfāt, Ngù' 2087","Ncômntēē, līē' 31, Ntûmbhìngòfāt, Ngù' 2087"
0,August 1 2087,Friday,Nzîngū,01-08-2087,2087 August 01,"Ntûmbhì līē', Mɑ̂ngà'nshì, Ngù' 2087","Nzîngū, Ntûmbhì līē', Mɑ̂ngà'nshì, Ngù' 2087"
1,August 2 2087,Saturday,Nzîsō,02-08-2087,2087 August 02,"līē' 2, Mɑ̂ngà'nshì, Ngù' 2087","Nzîsō, līē' 2, Mɑ̂ngà'nshì, Ngù' 2087"
2,August 3 2087,Sunday,Nthʉ̂'kwɑ̀,03-08-2087,2087 August 03,"līē' 3, Mɑ̂ngà'nshì, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 3, Mɑ̂ngà'nshì, Ngù' 2087"
3,August 4 2087,Monday,Nthʉ̂'ntāā,04-08-2087,2087 August 04,"līē' 4, Mɑ̂ngà'nshì, Ngù' 2087","Nthʉ̂'ntāā, līē' 4, Mɑ̂ngà'nshì, Ngù' 2087"
4,August 5 2087,Tuesday,Líé'nkwe',05-08-2087,2087 August 05,"līē' 5, Mɑ̂ngà'nshì, Ngù' 2087","Líé'nkwe', līē' 5, Mɑ̂ngà'nshì, Ngù' 2087"
5,August 6 2087,Wednesday,Nkɑ́ɑ́tēē,06-08-2087,2087 August 06,"līē' 6, Mɑ̂ngà'nshì, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 6, Mɑ̂ngà'nshì, Ngù' 2087"
6,August 7 2087,Thursday,Nshwīe'ko,07-08-2087,2087 August 07,"līē' 7, Mɑ̂ngà'nshì, Ngù' 2087","Nshwīe'ko, līē' 7, Mɑ̂ngà'nshì, Ngù' 2087"
7,August 8 2087,Friday,Ncômntēē,08-08-2087,2087 August 08,"līē' 8, Mɑ̂ngà'nshì, Ngù' 2087","Ncômntēē, līē' 8, Mɑ̂ngà'nshì, Ngù' 2087"
8,August 9 2087,Saturday,Nzîngū,09-08-2087,2087 August 09,"līē' 9, Mɑ̂ngà'nshì, Ngù' 2087","Nzîngū, līē' 9, Mɑ̂ngà'nshì, Ngù' 2087"
9,August 10 2087,Sunday,Nzîsō,10-08-2087,2087 August 10,"līē' 10, Mɑ̂ngà'nshì, Ngù' 2087","Nzîsō, līē' 10, Mɑ̂ngà'nshì, Ngù' 2087"
10,August 11 2087,Monday,Nthʉ̂'kwɑ̀,11-08-2087,2087 August 11,"līē' 11, Mɑ̂ngà'nshì, Ngù' 2087","Nthʉ̂'kwɑ̀, līē' 11, Mɑ̂ngà'nshì, Ngù' 2087"
11,August 12 2087,Tuesday,Nthʉ̂'ntāā,12-08-2087,2087 August 12,"līē' 12, Mɑ̂ngà'nshì, Ngù' 2087","Nthʉ̂'ntāā, līē' 12, Mɑ̂ngà'nshì, Ngù' 2087"
12,August 13 2087,Wednesday,Líé'nkwe',13-08-2087,2087 August 13,"līē' 13, Mɑ̂ngà'nshì, Ngù' 2087","Líé'nkwe', līē' 13, Mɑ̂ngà'nshì, Ngù' 2087"
13,August 14 2087,Thursday,Nkɑ́ɑ́tēē,14-08-2087,2087 August 14,"līē' 14, Mɑ̂ngà'nshì, Ngù' 2087","Nkɑ́ɑ́tēē, līē' 14, Mɑ̂ngà'nshì, Ngù' 2087"
